eng_rpm, eng_torque, eng_nominalTorque,
3411.708740, 1059.123779, 2816.817383,
3433.162354, 1053.607056, 2819.914063,
3454.557129, 1054.029297, 2823.009521,
3475.776611, 1060.495605, 2826.087158,
3496.704590, 1072.988281, 2829.130127,
3517.233398, 1091.360840, 2832.122070,
3537.264893, 1115.247803, 2835.048096,
3556.719727, 1144.040649, 2837.895020,
3575.545166, 1176.790161, 2840.651855,
3593.724365, 1212.076172, 2843.312012,
3611.285889, 1248.056396, 2845.874268,
3628.309570, 1282.339722, 2848.343506,
3644.928955, 1312.357422, 2850.731689,
3661.322266, 1335.321533, 2853.058105,
3677.700684, 1348.943726, 2855.349121,
3694.284424, 1351.625244, 2857.634277,
3711.279297, 1342.930664, 2859.943848,
3728.834229, 1323.651123, 2861.125000,
3746.691895, 1295.625732, 2842.475586,
3764.909912, 1261.016113, 2823.490234,
3783.490479, 1223.210449, 2804.109375,
3802.386719, 1185.029785, 2784.332764,
3821.517090, 1148.888062, 2764.210938,
3840.773438, 1116.740234, 2743.833740,
3860.028564, 1090.011963, 2723.317383,
3879.144531, 1069.749268, 2702.799072,
3897.978027, 1056.627319, 2682.427734,
3916.384277, 1051.069092, 2662.357666,
3934.220947, 1053.307739, 2642.743408,
3951.349609, 1063.358154, 2623.738770,
3967.646240, 1081.060791, 2605.490967,
3983.002930, 1105.954346, 2588.134277,
3997.341553, 1137.189697, 2571.782715,
4010.624756, 1173.394287, 2556.519287,
4022.867920, 1212.541260, 2542.383545,
4034.153809, 1251.881836, 2529.356934,
4044.633789, 1288.012085, 2517.350098,
4054.525146, 1317.209595, 2506.198242,
4064.086670, 1336.018921, 2495.667480,
4073.595703, 1341.920166, 2485.478027,
4083.302979, 1333.988770, 2475.333252,
4093.407715, 1313.133057, 2464.963867,
4104.037109, 1281.843018, 2454.157471,
4115.774902, 1243.691650, 2442.779297,
4129.394531, 1147.028076, 2430.203125,
4144.012207, 1028.624756, 2415.600098,
4158.149414, 995.008789, 2399.919922,
4171.702637, 1021.616333, 2384.756592,
4185.538574, 1022.454224, 2370.222900,
4199.921387, 980.858887, 2355.387207,
4214.456055, 943.326965, 2339.963379,
4228.889160, 928.122864, 2324.378906,
4243.323242, 917.817139, 2308.905518,
4257.821777, 898.397827, 2293.431152,
4272.208984, 881.598145, 2277.888428,
4286.351074, 874.208984, 2262.463623,
4300.208008, 872.449829, 2247.301270,
4313.799316, 870.861389, 2232.443359,
4327.077637, 868.843506, 2217.867432,
4339.941895, 871.760986, 2203.623779,
4352.396484, 879.986816, 2189.821045,
4364.541992, 884.746765, 2176.455322,
4376.403809, 886.687744, 2163.416504,
4388.003906, 887.780212, 2150.678467,
4399.376465, 889.455444, 2138.217529,
4410.631348, 887.348877, 2125.999268,
4421.859863, 880.664185, 2113.906250,
4433.144531, 868.775635, 2101.839600,
4444.499023, 854.430786, 2089.713135,
4455.977539, 839.307739, 2077.511719,
4467.641602, 819.587036, 2065.178223,
4479.434082, 798.233582, 2052.646729,
4491.299316, 781.402283, 2039.977417,
4503.239746, 764.181519, 2027.230591,
4515.192383, 748.594604, 2014.403564,
4527.089355, 735.074829, 2001.562134,
4538.823242, 727.116577, 1988.779541,
4550.365723, 722.366028, 1976.169434,
